,ToZone,Trips,Hour
599,100563,400.495029,h6
600,100564,5.263142,h6
601,100565,710.157988,h6
602,100566,238.50687,h6
603,100569,124.691821,h6
604,100570,136.44475,h6
605,100571,59.193921,h6
606,100572,208.062576,h6
607,100573,318.181322,h6
608,100574,822.516538,h6
609,100575,484.475696,h6
610,100576,273.085278,h6
611,100577,437.832757,h6
612,100578,211.837106,h6
613,100579,145.236116,h6
614,100580,347.005259,h6
615,100581,288.608326,h6
616,100582,435.273751,h6
617,100583,106.674859,h6
618,100584,1021.238283,h6
619,100585,13.305453,h6
620,100586,219.420765,h6
621,100587,2151.257905,h6
622,100598,410.574195,h6
623,100667,303.095934,h6
624,100668,77.694829,h6
625,100669,218.420043,h6
626,100793,100.963969,h6
627,100799,382.257186,h6
628,101258,329.675598,h6
629,101260,853.285839,h6
630,100439,1598.928524,h7
631,100505,1104.868633,h7
632,100506,246.535911,h7
633,100507,80.705647,h7
634,100508,332.372206,h7
635,100509,896.450949,h7
636,100510,594.605797,h7
637,100511,342.443578,h7
638,100512,431.400438,h7
639,100513,267.78365,h7
640,100514,1145.929783,h7
641,100515,849.293591,h7
642,100516,575.500806,h7
643,100517,487.230416,h7
644,100518,2595.99685,h7
645,100519,1291.502025,h7
646,100520,1043.148669,h7
647,100521,1731.814496,h7
648,100522,875.663487,h7
649,100523,585.443981,h7
650,100524,314.589093,h7
651,100525,375.366619,h7
652,100526,607.591823,h7
653,100527,930.853698,h7
654,100528,915.1977,h7
655,100529,625.177888,h7
656,100530,545.775716,h7
657,100531,995.500302,h7
658,100532,286.170955,h7
659,100533,351.887793,h7
660,100534,462.997748,h7
661,100535,777.229848,h7
662,100536,631.478528,h7
663,100537,131.383429,h7
664,100538,3597.059322,h7
665,100539,1474.667902,h7
666,100540,1088.434678,h7
667,100541,3890.36141,h7
668,100542,258.606298,h7
669,100543,659.876772,h7
670,100544,2133.48396,h7
671,100545,2302.001,h7
672,100546,753.28927,h7
673,100547,1072.991206,h7
674,100548,2310.450957,h7
675,100549,2916.568604,h7
676,100550,137.381907,h7
677,100551,20.157684,h7
678,100552,62.923714,h7
679,100553,68.40157,h7
680,100554,368.983985,h7
681,100555,1373.999938,h7
682,100556,132.564144,h7
683,100557,332.767852,h7
684,100558,227.694678,h7
685,100559,1195.179103,h7
686,100560,100.773953,h7
687,100561,246.120433,h7
688,100562,778.950804,h7
689,100563,880.568141,h7
690,100564,6.578472,h7
691,100565,1353.151483,h7
692,100566,423.615217,h7
693,100569,229.479318,h7
694,100570,279.083431,h7
695,100571,87.47901,h7
696,100572,379.1438,h7
697,100573,677.27144,h7
698,100574,1334.707048,h7
699,100575,960.966001,h7
700,100576,426.035009,h7
701,100577,598.777022,h7
702,100578,414.138064,h7
703,100579,242.814238,h7
704,100580,795.016414,h7
705,100581,739.154839,h7
706,100582,1091.100144,h7
707,100583,168.770867,h7
708,100584,2084.074872,h7
